label_idx,label,support,tp,fp,fn,precision,recall,f1,acc
0,airplane,1000,865,128,135,0.8710976837865055,0.865,0.868038133467135,0.865
1,automobile,1000,981,161,19,0.8590192644483362,0.981,0.9159663865546218,0.981
2,bird,1000,781,161,219,0.8290870488322718,0.781,0.8043254376930998,0.781
3,cat,1000,850,441,150,0.6584043377226956,0.85,0.7420340462680052,0.85
4,deer,1000,668,29,332,0.9583931133428981,0.668,0.7872716558632881,0.668
5,dog,1000,715,99,285,0.8783783783783784,0.715,0.7883131201764056,0.715
6,frog,1000,920,142,80,0.8662900188323918,0.92,0.8923375363724539,0.92
7,horse,1000,943,226,57,0.806672369546621,0.943,0.8695251267865376,0.943
8,ship,1000,909,60,91,0.9380804953560371,0.909,0.9233113255459624,0.909
9,truck,1000,871,50,129,0.9457111834961998,0.871,0.9068193649141072,0.871
